# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:EB                     7:TB                     8:phiphi                 9:TPhi                  10:Ephi               
   62       2.248985743336e-10       3.068648653060e-14      -3.485584896284e-13       1.563822151677e-16      -2.040928128833e-16      -4.202429812806e-15       3.200538548272e-11       3.784367503153e-12      -1.102938006955e-14 
   63       2.279782092172e-10       3.218166727323e-14      -3.949951148212e-13       1.615422462253e-16      -2.153872214121e-16      -4.093268836290e-15       3.084446394556e-11       3.665018564079e-12      -1.106093507581e-14 
   64       2.310867603190e-10       3.371357542164e-14      -4.431999964091e-13       1.667879874324e-16      -2.270738762927e-16      -3.968705831078e-15       2.974060166286e-11       3.551703294977e-12      -1.099994743244e-14 
   65       2.342250477994e-10       3.528119267425e-14      -4.931557498524e-13       1.721195202986e-16      -2.391538616026e-16      -3.828230242380e-15       2.869112823562e-11       3.444013817444e-12      -1.086699086726e-14 
   66       2.373932097004e-10       3.688337862957e-14      -5.448419843751e-13       1.775369298674e-16      -2.516276303067e-16      -3.671330943658e-15       2.769188920978e-11       3.341368172760e-12      -1.068590221473e-14 
   67       2.405906565664e-10       3.851886737046e-14      -5.982352595332e-13       1.830403050356e-16      -2.644949815928e-16      -3.497496435232e-15       2.673717020157e-11       3.243001605498e-12      -1.048391349792e-14 
   68       2.438166756716e-10       4.018639992049e-14      -6.533111007544e-13       1.886297462106e-16      -2.777556694802e-16      -3.306234000556e-15       2.582122408833e-11       3.148166936669e-12      -1.028618171362e-14 
   69       2.470724873151e-10       4.188516041404e-14      -7.100506172823e-13       1.943053893716e-16      -2.914114225132e-16      -3.097131238452e-15       2.494338152183e-11       3.056802313450e-12      -1.009779583618e-14 
   70       2.503595255776e-10       4.361442257562e-14      -7.684351533421e-13       2.000673874790e-16      -3.054642944741e-16      -2.869807412990e-15       2.410384439289e-11       2.968983726306e-12      -9.918344485463e-15 
   71       2.536787973282e-10       4.537342172588e-14      -8.284443568800e-13       2.059159040644e-16      -3.199160629149e-16      -2.623896270191e-15       2.330214013854e-11       2.884724582632e-12      -9.747184641582e-15 
   72       2.570308534587e-10       4.716135484081e-14      -8.900561887920e-13       2.118511137371e-16      -3.347682226374e-16      -2.359046721479e-15       2.253708686653e-11       2.803972337927e-12      -9.583430445638e-15 
   73       2.604157601179e-10       4.897738061106e-14      -9.532469321517e-13       2.178732026908e-16      -3.500219791729e-16      -2.074923527135e-15       2.180675847982e-11       2.726605126961e-12      -9.425942000447e-15 
   74       2.638330699450e-10       5.082061950117e-14      -1.017991201438e-12       2.239823692098e-16      -3.656782422618e-16      -1.771207979754e-15       2.110844980112e-11       2.652428394945e-12      -9.273314171260e-15 
   75       2.672817933042e-10       5.269015380882e-14      -1.084261951763e-12       2.301788241757e-16      -3.817376193335e-16      -1.447598587699e-15       2.043864169735e-11       2.581171528705e-12      -9.123865386492e-15 
   76       2.707608977951e-10       5.458496975982e-14      -1.152029254177e-12       2.364627868656e-16      -3.982001003539e-16      -1.103798753873e-15       1.979387512265e-11       2.512559119347e-12      -8.976185751885e-15 
   77       2.742709755337e-10       5.650377147132e-14      -1.221256343341e-12       2.428344703435e-16      -4.150640604322e-16      -7.394757072956e-16       1.917363434958e-11       2.446547199824e-12      -8.830921541759e-15 
   78       2.778128290590e-10       5.844513301393e-14      -1.291902862547e-12       2.492940943125e-16      -4.323270626440e-16      -3.542952894088e-16       1.857792859004e-11       2.383124166092e-12      -8.689297283385e-15 
   79       2.813869523849e-10       6.040755225537e-14      -1.363926017888e-12       2.558418899905e-16      -4.499861378867e-16       5.206529558386e-17       1.800641374530e-11       2.322238158615e-12      -8.552585577535e-15 
   80       2.849935130676e-10       6.238944973116e-14      -1.437280562181e-12       2.624781005194e-16      -4.680377720310e-16       4.799170639326e-16       1.745837616868e-11       2.263795223914e-12      -8.422107368381e-15 
   81       2.886323342718e-10       6.438916751519e-14      -1.511918778895e-12       2.692029813759e-16      -4.864778930718e-16       9.295588355587e-16       1.693271642808e-11       2.207657476117e-12      -8.299232213397e-15 
   82       2.923028768380e-10       6.640496809048e-14      -1.587790466076e-12       2.760168007807e-16      -5.053018582792e-16       1.401276817271e-15       1.642793306866e-11       2.153641258510e-12      -8.185378553254e-15 
