sim_num,gMpl,gMpl_std,aplusb_b95,aplusb_b95_std,aplusb_k95,aplusb_k95_std,aplusb_150,aplusb_150_std,aplusb_220,aplusb_220_std,aplusb_b95ext,aplusb_b95ext_std,chisq
385,0.351,0.652,-0.065,0.187,-0.025,0.243,0.004,0.201,0.004,0.243,-0.044,0.183,62.721
386,-0.92,0.682,0.444,0.191,0.452,0.246,0.513,0.199,0.228,0.265,0.451,0.197,50.956
387,1.187,0.686,-0.258,0.197,-0.562,0.257,-0.328,0.2,-0.679,0.271,-0.248,0.198,114.449
388,-2.597,0.666,0.749,0.187,0.674,0.25,0.709,0.196,0.766,0.24,0.762,0.181,60.501
389,-3.111,0.658,0.933,0.19,0.693,0.242,0.639,0.189,0.769,0.252,0.893,0.18,110.562
390,-1.123,0.659,0.177,0.188,0.38,0.24,0.168,0.194,0.4,0.257,0.222,0.189,80.885
391,0.834,0.675,-0.166,0.196,-0.034,0.245,-0.166,0.202,-0.699,0.252,-0.164,0.187,57.966
392,1.923,0.712,-0.581,0.203,-0.614,0.255,-0.448,0.197,-0.711,0.274,-0.56,0.196,62.881
393,-1.917,0.67,0.535,0.186,0.329,0.247,0.478,0.198,0.287,0.257,0.554,0.186,69.851
394,-1.275,0.68,0.206,0.194,0.334,0.243,0.214,0.201,-0.323,0.26,0.251,0.191,113.495
395,1.815,0.676,-0.359,0.19,-0.03,0.257,-0.381,0.194,0.074,0.266,-0.432,0.189,71.224
396,1.046,0.707,-0.191,0.202,-0.021,0.249,-0.32,0.199,-0.424,0.262,-0.258,0.198,81.657
397,1.106,0.671,-0.305,0.193,-0.543,0.236,-0.441,0.194,-0.165,0.253,-0.247,0.189,72.889
398,-1.612,0.718,0.561,0.207,0.625,0.258,0.57,0.209,0.776,0.261,0.517,0.196,46.747
399,2.015,0.675,-0.578,0.194,-0.769,0.254,-0.475,0.201,-0.389,0.257,-0.598,0.193,88.919
400,0.806,0.708,-0.138,0.201,-0.531,0.247,-0.151,0.21,0.102,0.276,-0.153,0.198,45.776
401,-2.171,0.704,0.476,0.197,0.279,0.252,0.398,0.205,0.305,0.263,0.551,0.195,80.888
402,0.405,0.636,0.057,0.182,0.101,0.246,-0.033,0.193,0.186,0.245,0.015,0.181,69.41
403,0.673,0.676,-0.188,0.188,-0.129,0.256,-0.203,0.191,-0.101,0.268,-0.119,0.19,48.716
404,-0.156,0.672,0.083,0.191,0.078,0.249,0.291,0.197,0.148,0.257,0.082,0.192,68.353
405,2.316,0.65,-0.708,0.188,-0.444,0.254,-0.874,0.194,-0.598,0.259,-0.661,0.181,134.514
406,-1.104,0.686,0.237,0.194,-0.157,0.245,0.271,0.197,-0.088,0.267,0.241,0.192,45.815
407,-0.956,0.676,0.199,0.195,-0.24,0.234,0.211,0.195,-0.099,0.271,0.179,0.188,67.385
408,-1.156,0.679,0.322,0.194,0.288,0.249,0.206,0.197,0.15,0.257,0.355,0.196,247.301
409,-1.783,0.669,0.551,0.187,0.644,0.24,0.622,0.2,0.784,0.253,0.531,0.19,80.914
